回答ID,回答日,拠点名,接客対応_評価,接客対応_コメント,清潔さ_評価,清潔さ_コメント,設備_評価,設備_コメント,対応スピード_評価,対応スピード_コメント,総合満足度_評価,総合満足度_コメント
R00756,2026-07-10,和歌山店,3,,,,3,設備は必要十分でした,5,,4,期待以上のサービスでした
R00757,2026-07-28,和歌山店,3,,5,清掃が行き届いていました,5,,5,待ち時間が少なくスムーズでした,5,
R00758,2026-07-16,和歌山店,1,態度が悪いスタッフがいました,,,5,駐車場が広くて停めやすかったです,1,,4,
R00759,2026-07-16,和歌山店,5,,4,店内がとても清潔で気持ちよかったです,3,,4,,3,
R00760,2026-07-16,和歌山店,5,,4,,5,,4,案内が早くて助かりました,3,
R00761,2026-07-15,和歌山店,3,,4,店内がとても清潔で気持ちよかったです,4,,4,待ち時間が少なくスムーズでした,3,可もなく不可もなくという印象です
R00762,2026-07-17,和歌山店,5,,1,トイレの清掃が行き届いていませんでした,4,,5,案内が早くて助かりました,5,期待以上のサービスでした
R00763,2026-07-09,和歌山店,5,質問にすぐ答えてくれて助かりました,,,4,設備が新しく快適でした,5,案内が早くて助かりました,4,
R00764,2026-07-31,和歌山店,5,,4,,4,,5,,4,
R00765,2026-07-29,和歌山店,3,特に問題はありませんでした,1,トイレの清掃が行き届いていませんでした,5,設備が新しく快適でした,1,呼んでもなかなか来てもらえませんでした,4,また利用したいと思います
R00766,2026-07-05,和歌山店,5,,4,,4,駐車場が広くて停めやすかったです,5,案内が早くて助かりました,4,
R00767,2026-07-23,和歌山店,4,スタッフの対応がとても丁寧でした,4,,5,設備が新しく快適でした,5,案内が早くて助かりました,5,
R00768,2026-07-08,和歌山店,4,,5,,4,駐車場が広くて停めやすかったです,5,案内が早くて助かりました,5,また利用したいと思います
R00769,2026-08-05,和歌山店,5,質問にすぐ答えてくれて助かりました,3,,5,,5,,,
R00770,2026-08-08,和歌山店,5,笑顔で挨拶していただき気持ちよかったです,4,,5,,4,,4,
R00771,2026-08-09,和歌山店,4,,5,,5,設備が新しく快適でした,5,,,
R00772,2026-08-18,和歌山店,4,,4,店内がとても清潔で気持ちよかったです,4,,4,,5,期待以上のサービスでした
R00773,2026-08-05,和歌山店,5,,4,,5,,4,待ち時間が少なくスムーズでした,5,
R00774,2026-08-07,和歌山店,4,,1,床が汚れているのが気になりました,5,駐車場が広くて停めやすかったです,1,,1,期待外れでした
R00775,2026-08-01,和歌山店,4,,1,床が汚れているのが気になりました,4,,5,待ち時間が少なくスムーズでした,4,
R00776,2026-08-09,和歌山店,2,,3,清潔さは普通でした,5,,1,,5,
R00777,2026-08-17,和歌山店,4,,3,,4,,4,,3,可もなく不可もなくという印象です
R00778,2026-08-16,和歌山店,5,質問にすぐ答えてくれて助かりました,4,,4,駐車場が広くて停めやすかったです,4,待ち時間が少なくスムーズでした,1,
R00779,2026-08-07,和歌山店,4,笑顔で挨拶していただき気持ちよかったです,3,清潔さは普通でした,4,,2,,2,期待外れでした
R00780,2026-07-16,岡山店,1,,1,,4,駐車場が広くて停めやすかったです,4,,2,
R00781,2026-07-09,岡山店,5,,5,,1,空調の効きが悪かったです,4,,4,
R00782,2026-07-06,岡山店,4,,1,,4,設備が新しく快適でした,5,,1,
R00783,2026-07-05,岡山店,1,,1,,4,駐車場が広くて停めやすかったです,3,,2,
R00784,2026-07-24,岡山店,5,,1,,4,,4,,1,
R00785,2026-07-24,岡山店,3,,5,,1,設備が古く感じました,3,,1,価格の割に満足度が低いと感じました
R00786,2026-07-02,岡山店,3,,2,,3,設備は必要十分でした,5,待ち時間が少なくスムーズでした,5,期待以上のサービスでした
R00787,2026-07-30,岡山店,2,,5,,4,,4,,5,期待以上のサービスでした
R00788,2026-07-15,岡山店,2,スタッフの対応が冷たく感じました,2,匂いが気になりました,5,,1,待ち時間が長く感じました,4,
R00789,2026-07-27,岡山店,4,,3,,4,,3,待ち時間は許容範囲でした,2,
R00790,2026-07-27,岡山店,4,,1,,5,,5,待ち時間が少なくスムーズでした,2,次は利用しないかもしれません
R00791,2026-07-04,岡山店,5,,1,床が汚れているのが気になりました,2,,1,,4,家族にもすすめたいです
R00792,2026-07-25,岡山店,3,,3,,4,,4,,5,家族にもすすめたいです
R00793,2026-07-31,岡山店,1,,1,,5,,2,,,
R00794,2026-08-10,岡山店,,,1,,4,,4,,1,
R00795,2026-08-13,岡山店,4,笑顔で挨拶していただき気持ちよかったです,3,清潔さは普通でした,1,,2,,4,
R00796,2026-08-11,岡山店,4,,5,,2,空調の効きが悪かったです,1,,2,期待外れでした
R00797,2026-08-02,岡山店,2,説明が分かりにくかったです,1,,2,駐車場が狭くて停めにくかったです,5,,4,
R00798,2026-08-16,岡山店,1,挨拶がなく残念でした,4,清掃が行き届いていました,3,,3,,,
R00799,2026-08-01,岡山店,1,スタッフの対応が冷たく感じました,1,床が汚れているのが気になりました,4,,5,,4,
R00800,2026-08-03,岡山店,1,,3,,4,駐車場が広くて停めやすかったです,5,案内が早くて助かりました,5,
R00801,2026-08-12,岡山店,5,,5,,5,設備が新しく快適でした,4,,2,次は利用しないかもしれません
R00802,2026-08-17,岡山店,5,,4,,1,設備が古く感じました,1,,5,
R00803,2026-08-06,岡山店,4,,1,床が汚れているのが気になりました,4,,5,,5,
R00804,2026-08-04,岡山店,3,,2,匂いが気になりました,5,,4,,4,
R00805,2026-07-27,広島店,5,スタッフの対応がとても丁寧でした,1,,5,,2,待ち時間が長く感じました,4,
R00806,2026-07-07,広島店,1,,3,,4,,4,待ち時間が少なくスムーズでした,4,
R00807,2026-07-10,広島店,5,,5,,2,,4,,5,また利用したいと思います
R00808,2026-07-28,広島店,4,,2,,5,設備が新しく快適でした,5,,,可もなく不可もなくという印象です
R00809,2026-07-02,広島店,4,,3,,3,設備は必要十分でした,4,案内が早くて助かりました,5,また利用したいと思います
R00810,2026-07-26,広島店,4,質問にすぐ答えてくれて助かりました,5,清掃が行き届いていました,5,駐車場が広くて停めやすかったです,1,,5,また利用したいと思います
R00811,2026-07-24,広島店,5,,4,,5,,5,,4,期待以上のサービスでした
R00812,2026-07-12,広島店,1,説明が分かりにくかったです,4,,5,,4,,5,また利用したいと思います
R00813,2026-07-24,広島店,,,4,,4,設備が新しく快適でした,4,,1,価格の割に満足度が低いと感じました
R00814,2026-07-24,広島店,2,説明が分かりにくかったです,4,店内がとても清潔で気持ちよかったです,5,,4,,5,
R00815,2026-07-15,広島店,4,,5,,4,,5,案内が早くて助かりました,5,
R00816,2026-07-08,広島店,5,,,清潔さは普通でした,4,,1,,5,
R00817,2026-07-02,広島店,4,笑顔で挨拶していただき気持ちよかったです,4,,5,,4,待ち時間が少なくスムーズでした,4,
R00818,2026-08-01,広島店,3,,5,,5,設備が新しく快適でした,4,,3,
R00819,2026-08-18,広島店,1,,5,,5,,4,,,
R00820,2026-08-01,広島店,4,スタッフの対応がとても丁寧でした,5,清掃が行き届いていました,4,設備が新しく快適でした,2,,4,
R00821,2026-08-05,広島店,4,,3,,4,駐車場が広くて停めやすかったです,5,案内が早くて助かりました,5,期待以上のサービスでした
R00822,2026-08-12,広島店,4,質問にすぐ答えてくれて助かりました,3,,4,設備が新しく快適でした,3,,5,
R00823,2026-08-09,広島店,5,,5,清掃が行き届いていました,3,,4,,4,
R00824,2026-08-13,広島店,4,,4,清掃が行き届いていました,4,設備が新しく快適でした,4,待ち時間が少なくスムーズでした,5,
R00825,2026-08-15,広島店,3,,4,,5,駐車場が広くて停めやすかったです,5,,2,
R00826,2026-08-17,広島店,4,,3,,2,,5,待ち時間が少なくスムーズでした,5,また利用したいと思います
R00827,2026-08-15,広島店,5,,5,,4,駐車場が広くて停めやすかったです,5,,4,家族にもすすめたいです
R00828,2026-08-16,広島店,4,,4,店内がとても清潔で気持ちよかったです,5,設備が新しく快適でした,3,,4,また利用したいと思います
R00829,2026-08-06,広島店,5,,4,,5,,5,,3,可もなく不可もなくという印象です
R00830,2026-08-12,広島店,5,,4,清掃が行き届いていました,5,,5,,1,期待外れでした
R00831,2026-08-02,広島店,,普通の対応でした,,,5,駐車場が広くて停めやすかったです,4,待ち時間が少なくスムーズでした,5,
R00832,2026-07-21,高松店,5,,2,床が汚れているのが気になりました,3,設備は必要十分でした,4,,3,可もなく不可もなくという印象です
R00833,2026-07-21,高松店,1,説明が分かりにくかったです,3,清潔さは普通でした,4,,4,,1,次は利用しないかもしれません
R00834,2026-07-11,高松店,3,,3,清潔さは普通でした,4,駐車場が広くて停めやすかったです,,,2,
R00835,2026-07-18,高松店,4,,,,5,,1,呼んでもなかなか来てもらえませんでした,1,次は利用しないかもしれません
R00836,2026-07-12,高松店,2,,4,,5,,5,,1,価格の割に満足度が低いと感じました
R00837,2026-07-21,高松店,5,質問にすぐ答えてくれて助かりました,2,床が汚れているのが気になりました,3,,4,,1,価格の割に満足度が低いと感じました
R00838,2026-07-16,高松店,4,笑顔で挨拶していただき気持ちよかったです,1,匂いが気になりました,2,,4,待ち時間が少なくスムーズでした,4,
R00839,2026-07-10,高松店,4,スタッフの対応がとても丁寧でした,2,床が汚れているのが気になりました,5,,4,,2,価格の割に満足度が低いと感じました
R00840,2026-07-06,高松店,4,,4,店内がとても清潔で気持ちよかったです,3,設備は必要十分でした,1,呼んでもなかなか来てもらえませんでした,,
R00841,2026-07-22,高松店,3,普通の対応でした,5,,1,,4,,4,家族にもすすめたいです
R00842,2026-07-27,高松店,4,,3,,3,,5,,4,
R00843,2026-07-13,高松店,5,笑顔で挨拶していただき気持ちよかったです,1,トイレの清掃が行き届いていませんでした,3,,2,,1,
R00844,2026-07-21,高松店,3,特に問題はありませんでした,4,店内がとても清潔で気持ちよかったです,2,,5,案内が早くて助かりました,3,可もなく不可もなくという印象です
R00845,2026-07-18,高松店,4,,2,,1,,5,,,可もなく不可もなくという印象です
R00846,2026-07-31,高松店,3,,2,匂いが気になりました,2,駐車場が狭くて停めにくかったです,3,,3,
R00847,2026-08-04,高松店,1,,4,清掃が行き届いていました,3,設備は必要十分でした,4,,2,価格の割に満足度が低いと感じました
R00848,2026-08-02,高松店,3,,2,,5,,2,,3,可もなく不可もなくという印象です
R00849,2026-08-07,高松店,3,特に問題はありませんでした,4,,3,,3,,3,
R00850,2026-08-15,高松店,5,,2,,5,,2,,3,
R00851,2026-08-05,高松店,3,,5,清掃が行き届いていました,5,,4,,1,次は利用しないかもしれません
R00852,2026-08-03,高松店,5,スタッフの対応がとても丁寧でした,4,,3,,4,,4,また利用したいと思います
R00853,2026-08-12,高松店,5,,2,匂いが気になりました,2,設備が古く感じました,4,,,
R00854,2026-08-08,高松店,4,,4,清掃が行き届いていました,5,設備が新しく快適でした,4,待ち時間が少なくスムーズでした,5,期待以上のサービスでした
R00855,2026-08-08,高松店,2,,4,店内がとても清潔で気持ちよかったです,,,3,,5,
R00856,2026-08-16,高松店,5,スタッフの対応がとても丁寧でした,1,,5,設備が新しく快適でした,5,待ち時間が少なくスムーズでした,5,
R00857,2026-08-07,高松店,5,笑顔で挨拶していただき気持ちよかったです,1,トイレの清掃が行き届いていませんでした,3,設備は必要十分でした,1,待ち時間が長く感じました,5,家族にもすすめたいです
R00858,2026-08-01,高松店,3,特に問題はありませんでした,4,,5,,2,待ち時間が長く感じました,2,
R00859,2026-08-11,高松店,4,,4,,1,,1,,5,
R00860,2026-08-14,高松店,5,スタッフの対応がとても丁寧でした,4,,5,,4,,1,
R00861,2026-07-29,松山店,5,,3,,5,,4,案内が早くて助かりました,1,次は利用しないかもしれません
R00862,2026-07-22,松山店,4,笑顔で挨拶していただき気持ちよかったです,5,,3,設備は必要十分でした,4,,4,家族にもすすめたいです
R00863,2026-07-23,松山店,,普通の対応でした,,,5,,4,,5,
R00864,2026-07-06,松山店,4,,5,,5,,3,待ち時間は許容範囲でした,5,
R00865,2026-07-08,松山店,4,,5,,5,駐車場が広くて停めやすかったです,4,,1,
R00866,2026-07-02,松山店,2,態度が悪いスタッフがいました,,清潔さは普通でした,4,,4,,5,期待以上のサービスでした
R00867,2026-07-13,松山店,2,,5,,4,,4,待ち時間が少なくスムーズでした,4,また利用したいと思います
R00868,2026-07-03,松山店,4,,,清潔さは普通でした,3,,3,,2,価格の割に満足度が低いと感じました
R00869,2026-07-18,松山店,5,,5,清掃が行き届いていました,4,,3,待ち時間は許容範囲でした,5,
R00870,2026-07-29,松山店,4,スタッフの対応がとても丁寧でした,5,,5,,3,待ち時間は許容範囲でした,4,家族にもすすめたいです
R00871,2026-07-28,松山店,5,,3,,5,,5,案内が早くて助かりました,5,家族にもすすめたいです
R00872,2026-07-19,松山店,1,説明が分かりにくかったです,1,,5,駐車場が広くて停めやすかったです,1,,3,
R00873,2026-07-23,松山店,5,,5,清掃が行き届いていました,4,駐車場が広くて停めやすかったです,3,,4,期待以上のサービスでした
R00874,2026-07-01,松山店,4,,4,,2,設備が古く感じました,4,,4,期待以上のサービスでした
R00875,2026-07-29,松山店,4,,4,,1,,4,,3,
R00876,2026-07-30,松山店,5,質問にすぐ答えてくれて助かりました,,,5,,4,待ち時間が少なくスムーズでした,4,家族にもすすめたいです
R00877,2026-07-11,松山店,5,,1,床が汚れているのが気になりました,5,駐車場が広くて停めやすかったです,,待ち時間は許容範囲でした,,
R00878,2026-08-14,松山店,5,,4,,2,,5,,4,期待以上のサービスでした
R00879,2026-08-11,松山店,5,,3,清潔さは普通でした,4,,3,,2,期待外れでした
R00880,2026-08-16,松山店,4,,5,店内がとても清潔で気持ちよかったです,5,,1,待ち時間が長く感じました,5,
R00881,2026-08-18,松山店,4,,5,清掃が行き届いていました,3,,2,,4,また利用したいと思います
R00882,2026-08-05,松山店,3,,5,,1,設備が古く感じました,5,,5,
R00883,2026-08-12,松山店,3,,,,4,設備が新しく快適でした,,,5,
R00884,2026-08-10,松山店,4,,4,,5,,5,待ち時間が少なくスムーズでした,4,
R00885,2026-08-16,松山店,2,,4,店内がとても清潔で気持ちよかったです,4,,5,,3,
R00886,2026-08-17,松山店,5,,4,,5,,3,,1,
R00887,2026-07-07,福岡店,5,スタッフの対応がとても丁寧でした,4,店内がとても清潔で気持ちよかったです,2,,2,,4,
R00888,2026-07-29,福岡店,4,質問にすぐ答えてくれて助かりました,3,,,設備は必要十分でした,5,待ち時間が少なくスムーズでした,5,
R00889,2026-07-05,福岡店,4,,4,清掃が行き届いていました,4,,5,案内が早くて助かりました,5,
R00890,2026-07-19,福岡店,4,,5,清掃が行き届いていました,3,,5,案内が早くて助かりました,4,また利用したいと思います
R00891,2026-07-27,福岡店,4,,3,,4,駐車場が広くて停めやすかったです,1,,5,
R00892,2026-07-08,福岡店,5,,5,,4,設備が新しく快適でした,5,案内が早くて助かりました,1,価格の割に満足度が低いと感じました
R00893,2026-07-22,福岡店,5,質問にすぐ答えてくれて助かりました,5,,5,駐車場が広くて停めやすかったです,2,待ち時間が長く感じました,5,
R00894,2026-07-04,福岡店,2,,4,,1,,3,待ち時間は許容範囲でした,5,
R00895,2026-08-15,福岡店,4,笑顔で挨拶していただき気持ちよかったです,,,4,,5,案内が早くて助かりました,4,家族にもすすめたいです
R00896,2026-08-18,福岡店,4,笑顔で挨拶していただき気持ちよかったです,4,,2,駐車場が狭くて停めにくかったです,4,,5,期待以上のサービスでした
R00897,2026-08-07,福岡店,3,特に問題はありませんでした,4,,5,,4,,5,期待以上のサービスでした
R00898,2026-08-18,福岡店,5,,4,店内がとても清潔で気持ちよかったです,3,,4,,3,
R00899,2026-08-04,福岡店,5,スタッフの対応がとても丁寧でした,4,店内がとても清潔で気持ちよかったです,5,駐車場が広くて停めやすかったです,4,案内が早くて助かりました,5,家族にもすすめたいです
R00900,2026-08-04,福岡店,4,,4,店内がとても清潔で気持ちよかったです,1,駐車場が狭くて停めにくかったです,5,,4,また利用したいと思います
R00901,2026-08-07,福岡店,4,笑顔で挨拶していただき気持ちよかったです,3,清潔さは普通でした,4,設備が新しく快適でした,4,,1,期待外れでした
R00902,2026-08-14,福岡店,5,,5,,4,駐車場が広くて停めやすかったです,5,,4,
R00903,2026-08-16,福岡店,5,,5,,4,駐車場が広くて停めやすかったです,5,待ち時間が少なくスムーズでした,2,
R00904,2026-08-07,福岡店,5,,5,,4,,3,,5,また利用したいと思います
R00905,2026-08-15,福岡店,1,態度が悪いスタッフがいました,3,清潔さは普通でした,5,,3,,4,また利用したいと思います
R00906,2026-08-08,福岡店,4,笑顔で挨拶していただき気持ちよかったです,5,店内がとても清潔で気持ちよかったです,5,設備が新しく快適でした,5,,5,
R00907,2026-08-04,福岡店,5,笑顔で挨拶していただき気持ちよかったです,1,,4,設備が新しく快適でした,3,,5,
R00908,2026-08-18,福岡店,4,質問にすぐ答えてくれて助かりました,5,,3,,1,対応が遅く感じました,1,価格の割に満足度が低いと感じました
R00909,2026-08-13,福岡店,4,質問にすぐ答えてくれて助かりました,5,,4,,3,,4,
R00910,2026-08-09,福岡店,3,,5,清掃が行き届いていました,4,,4,,,可もなく不可もなくという印象です
R00005,2026-07-07,札幌店,1,,4,,4,,2,,3,
R00012,2026-07-02,札幌店,1,,5,,2,,3,待ち時間は許容範囲でした,2,
